objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
yppc_1,Mother Goose on the Loose,"Stephens, Jeffryn",1986,A series of nursery rhymes with a singular narrator.,04-08,14,,,YPPC,,,6,FALSE,FALSE,TRUE,Mother Goose,11,4,4,3,TRUE
yppc_2,Fire Demon and South Wind: A Korean Folktale,"Winther, Barbara",1976,A fire demon and the south wind conspire to cause mischief for a village. The villagers work together to come up with a solution.,04-08,11,,,"Plays, Inc.",,,6,FALSE,TRUE,TRUE,Korean Folktale,12,1,1,10,TRUE
yppc_3,A Christmas Carol,"Stephens, Jeffryn",1981,An adaptation of A Christmas Carol.,00-99,56,,,YPPC,,Music and lyrics by Ty Stephens and Marilyn Older. Score included in green binder.,8,TRUE,FALSE,TRUE,A Christmas Carol by Charles Dickens,58,25,30,3,TRUE
yppc_4,The Three Wishing Bags,"Swintz, Martha",1992,,12-18,,,,YPPC,,,,FALSE,FALSE,FALSE,,11,3,3,5,
yppc_5,Star Frontiers,"Neimeyer, Shaun",1988,A team of intergalactic explorers investigate reports of space pirates.,12-18,31,,,YPPC,,Written by Shaun Neimeyer and Jeffryn Stephens,6,FALSE,FALSE,FALSE,,17,3,1,13,TRUE
yppc_6,Once Upon an Island,"Stephens, Jeffryn",1983,Three siblings are lost at sea and wash up on an island inhabited by feuding magical creatures.,08-12,24,,,YPPC,,,1,FALSE,FALSE,FALSE,,17,1,3,13,FALSE
yppc_7,Aladdin Jr.,"Beguelin, Chad",2017,"A beggar is tricked into retrieving a magical lamp from an enchanted cave. The beggar keeps the lamp and befriends the genie, leading to him marrying the princess and assuming the sultanate.",04-18,94,,,Music Theater International,,Broadway Jr script; need to look into liscenses.,2,TRUE,TRUE,TRUE,1001 Arabian Nights,25,3,1,21,
yppc_8,The Trojan Horse,"Suranna, Keith",1997,Based on Homer's epic poems.,04-10,32,,,Little Golden Books,,Crayola Kids Golden Books script,1,FALSE,TRUE,TRUE,The Illiad/The Odyssey,12,5,4,3,
yppc_9,Adaptation,"May, Elaine",1971,A contest in which the contestant advances or is sent back through the seven ages of man.,10-18,25,,,Dramatists Play Service Inc.,,,2,FALSE,TRUE,FALSE,,4,3,1,0,
yppc_10,"20,000 Leagues Under the Sea","Suranna, Keith",1997,"Based on Jules Verne's novel 20,000 Leagues Under the Sea",07-10,31,,,Little Golden Books,,,1,FALSE,TRUE,TRUE,"20,000 Leagues Under the Sea",6,3,1,2,
yppc_11,Anastasia - Recognition Scene,"Maurette, Marcelle",1952,"Anastasia is recognized by the dowager Tsarina, her grandmother.",10-18,8,,,"Samuel French, Inc.",,One scene from act II of Anastasia. English adaptation by Guy Bolton.,1,FALSE,TRUE,FALSE,,3,0,2,1,
yppc_12,Anne of Green Gables,"Robinette, Joseph",1989,An orphan girl is adopted by a pair of siblings.,04-18,84,,,The Dramatic Publishing Company,,,4,FALSE,TRUE,TRUE,Anne of Green Gables by LM Montgomery,31,9,19,3,TRUE
yppc_13,Ashes,"Rudkin, David",1977,"Anne and Colin are a thirty-ish British couple who desperately want a child. With stark realism, harrowing insight, and dark humor, their efforts to achieve this blessing are portrayed as the embers of their hope become the ashes of their dreams and with bitter experience they summon the strength and love to go on.",16-18,54,,,Concord Theatricals,,Script is incomplete. This also deals with some pretty explicit sexual themes.,1,FALSE,TRUE,FALSE,,4,2,2,0,
yppc_14,April Fish,"Pezzulo, Ted",1975,"The scene is in a tenement in New York’s “Little Italy,” the home of the family of Assunta and Fortunato. It so happens that there is an enormous hole in their bathroom wall, and Assunta has summoned the detested Pietro (an excellent plasterer) to fix it—but Fortunato has just spent all of the family’s money on a magnificent gold tooth. The answer: “April Fish” —a traditional bit of Italian trickery in which the word is passed that Fortunato has died, and he is suitably laid out, amidst mourners and candles, when Pietro arrives. Certainly, in such a situation, no one would be so heartless to speak of money! Unfortunately the ruse fails to work quite as well as hoped, and what with the rising hubbub of assembled neighbors and friends, the situation grows increasingly frantic—and hilarious—until the good Padre Peggio arrives to set matters right and give the perpetrators their comeuppance.",10-18,27,,,Dramatists Play Service Inc.,,,8,FALSE,TRUE,FALSE,,11,6,5,0,
yppc_15,Appointment with Death,"Christie, Agatha",1945,"An assorted group of travellers find themselves thrown together on an expedition to the rose red city of Petra. At the centre of the group are Mrs. Boynton and her four stepchildren who never leave her side. This apparent devotion however is actually a façade for something far more sinister. Sarah King, a young English doctor, and her colleague, the eminent psychologist, Dr. Theodore Gerard, find themselves embroiled in a battle to free the children from the sadistic grasp of a tyrannical woman. This chilling play offers a unique take on the classic murder mystery, where Christie explores the realms of the sadistic mind and the devastating effects of long term psychological abuse.",10-18,79,,,Concord Theatricals,,,3,FALSE,TRUE,TRUE,Appointment with Death by Agatha Christie,16,9,7,0,FALSE
yppc_16,Arsenic and Old Lace,"Kesselring, Joseph",1939,"Drama critic Mortimer Brewster’s engagement announcement is upended when he discovers a corpse in his elderly aunts’ window seat. Mortimer rushes to tell Abby and Martha before they stumble upon the body themselves, only to learn that the two old women aren’t just aware of the dead man in their parlor, they killed him! Between his aunts’ penchant for poisoning wine, a brother who thinks he’s Teddy Roosevelt, and another brother using plastic surgery to hide from the police—not to mention Mortimer’s own hesitancy about marriage—it’ll be a miracle if Mortimer makes it to his wedding. Arsenic and Old Lace is a classic black comedy about the only thing more deadly than poison: family.",10-18,88,,,Dramatists Play Service Inc.,,,7,FALSE,TRUE,FALSE,,14,11,3,0,FALSE
yppc_17,Alice: Through the Looking Glass and Other Adventures,"Stephens, Jeffryn",1984,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,06-18,54,,,YPPC,,There are probably 8 copies of this play. Some of the copies are alternate versions. There are multiple roles in this that are not gender specific. Many of these roles can doubled.,8,TRUE,FALSE,TRUE,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,31,1,4,26,
yppc_18,Aunt Dan and Lemon,"Shawn, Wallace",1985,"The action begins in the London flat of Lenora (Lemon), a rather frail, introspective young woman who tells us, with a chilling calm, why she rather admires the Nazis for their “refreshing” lack of hypocrisy, and who then, in a series of flashbacks, explains how she came to hold these views. We meet her abrasive American-born father, to whom profit and business success are foremost, and her retiring mother who wishes that love and kindness were more prevalent but is easily reconciled to their absence. But, most important, we meet a family friend, Danielle (known as Aunt Dan), an Oxford don obsessed with defending Henry Kissinger’s policies in Vietnam. Beguiling Lemon with tales of her wild days as an Oxford student, and of the amoral escapades of her diverse and often dissolute friends (depicted in brief, disquieting vignettes), Aunt Dan becomes the central force in Lemon’s life, eventually corrupting Lemon’s moral views to the point where even Aunt Dan’s death elicits no compassion. Instead Lemon, in a final, chilling monologue, methodically makes the case that bullies are our natural masters—and that reasonable man is, by nature, an armed killer who destroys others not only because it is necessary for survival but because it gives him pleasure.",16-18,45,,,Dramatists Play Service Inc.,"Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,4,FALSE,TRUE,FALSE,,12,6,6,0,
yppc_19,Aida (Scenes),"Verdi, Giuseppe",1871,"The Egyptians have captured and enslaved Aida, an Ethiopian princess. An Egyptian military commander, Radamès, struggles to choose between his love for her and his loyalty to the King of Egypt. To complicate the story further, the King's daughter Amneris is in love with Radamès, although he does not return her feelings.",10-18,9,,,Open Source,,"Contains scenes from Aida: School Edition. 2 copies of Scenes 2 and 4, 3 copies of Scene 5, and 6 copies of Scene 6.",2,TRUE,FALSE,FALSE,,8,4,2,2,
yppc_20,After Magritte,"Stoppard, Tom",1971,"Harris, his mother and his wife are a kooky trio. Enter the forceful inspector from Scotland Yard with his constable - which is strange, notes the wife, for she had ordered an ambulance. The officers proceed to place the three under arrest.",08-18,24,,,"Samuel French, Inc.",,,1,FALSE,TRUE,FALSE,,5,3,2,0,
yppc_21,A Growin',"Chapman, Margaret",1988,,12-18,,,,YPPC,,"Possibly complete? Need to ask Jessica as the acts are seperated and there are different numbers of them. Written by members of the 1988 Playwriting Class, assisted by Ty Stephens. Authors Margaret Chapman, Karen Moore, Hilary Sparrow, and Lisa Raimi.",,FALSE,FALSE,FALSE,,0,,,,
yppc_22,Aesop's Fables,"Glasner, Anne",1979,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",04-12,46,,,Open Source,,Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,24,FALSE,FALSE,TRUE,Adapted from Aesop's Fables.,11,0,0,11,
yppc_23,The Stonecutter and the Tiger,"Stephens, Jeffryn",1990,"A poor stone-cutter craves to become a rich man, then a prince; his wishes are granted in turn by a mountain spirit. He then enviously desires to become the sun, impervious to heat; then clouds, undaunted by the sun; then the mountain, which withstands the rain which falls from the clouds. But when a stone-cutter starts chipping away at him, he wants to revert to being a man, and comes to the realization that he is satisfied with his station in life as a humble stone-cutter.",04-08,15,,,YPPC,,Co-located in CAPS Learning Packet curriculum.,1,FALSE,FALSE,TRUE,Adapted from The Stonecutter and the Tiger,14,3,2,9,
yppc_24,Anansi and the Sky-God Stories,"Stephens, Jeffryn",1985,"Anansi (/ah*nahn*see/) the Spider is a popular figure in the folklore of parts of West Africa. Anansi is a “trickster” figure—clever, cunning, sometimes mischievous—who uses his wits to make up for what he lacks in size and strength. This story tells how Anansi became the “owner” of all stories",04-08,8,,,YPPC,,Co-located in CAPS Learning Packet curriculum. Might be a copy of Barbara Winther's,14,FALSE,FALSE,TRUE,Adapted from All Stories are Anansi's (A Tale from West Africa),11,1,1,9,TRUE
yppc_25,Anansi and the First Talking Drum,"Stephens, Jeffryn",1985,"This is the story of Anansi, the cunning spider, and a magical drum that spoke the language of the cosmos.",04-08,5,,,YPPC,,Co-located in CAPS Learning Packet curriculum.,1,FALSE,FALSE,TRUE,Adapted from Anansi and the Magic Drum,8,2,0,6,TRUE
yppc_26,Tall Tale Man,"Stephens, Jeffryn",1985,"Anansi is a trickster who tells a man tall tales. The man refuses to believe him, and eventually leaves in disgust.",04-08,3,,,YPPC,,Co-located in CAPS Learning Packet curriculum.,1,FALSE,FALSE,TRUE,Adapted from West African Anansi stories,8,2,0,6,
yppc_27,Jack and the Robbers,"Stephens, Jeffryn",1985,"Off to find his fortune, Jack meets a cat, dog, goat, bull and rooster, who help him recover a fortune from a gang of thieves.",04-08,9,,,YPPC,,Co-located in CAPS Learning Packet curriculum.,1,FALSE,FALSE,TRUE,Adapted from Jack and the Robbers from the Jack Tales of Southern Appalachia.,10,2,1,7,
yppc_28,Bang!,"Stephens, Jeffryn",1984,There's a hostage situation at a bus station.,14-18,48,,,YPPC,,There are lyrics for this play but no score is included.,,FALSE,FALSE,FALSE,,19,8,10,1,
yppc_29,Beans!,"Schuch, Joe",1988,"""Jack and the Beanstalk"" is the best known of the ""Jack tales"", a series of stories featuring the archetypal English hero and stock character Jack.",08-12,27,,,"Joseph N. Schuch, Jr.",,,6,FALSE,TRUE,TRUE,Adapted from Jack and the Beanstalk,11,3,2,6,
yppc_30,The Masque of Beauty and the Beast,"Brill, Michael Elliot",1979,"A fanciful tapestry of the theatrical enchantment retelling the ageless fairy tale for audiences of children of all ages, this production is a favorite of college drama programs. Magic is created on all levels in this stunning verse play filled with sprightly dialog, delightful and varied characterizations, and a brilliantly theatrical handling of the story. To be performed in the manner of a 16th-century French masque, The Masque of Beauty and the Beast effectively utilizes an eloquent narrator, a simple platform set and 11 players to weave wonder for all. The playwright is a gifted producer and his suggestions will interest the most advanced director.",10-18,34,,,"The Anchorage Press, Inc.",,,5,FALSE,TRUE,TRUE,Adapted from Beauty and the Beast,12,2,3,7,
yppc_31,Belle of Amherst,"Luce, William",1976,"The Belle of Amherst is a one-woman play by William Luce. Based on the life of poet Emily Dickinson from 1830 to 1886, and set in her Amherst, Massachusetts, home, the 1976 play makes use of her work, diaries, and letters to recollect her encounters with the significant people in her life – family, close friends, and acquaintances. It balances the agony of her seclusion with the brief bright moments when she was able to experience some joy.",10-18,78,,,Dramatists Play Service Inc.,,One woman play; has 15 characters so can be expanded.,1,FALSE,TRUE,FALSE,,1,0,1,0,
yppc_32,Bermuda Triangle Mystery,"Murray, John",1979,A pleasure cruise becomes a nightmare when the yacht Enchantress sails into the Bermuda Triangle.,10-18,20,,,"Plays, Inc.",,Part of Fifteen plays for teen-agers: A collection of one-act royalty-free comedies and mysteries by John Murray,2,FALSE,FALSE,FALSE,,10,2,3,5,
yppc_33,Between Daylight and Boonville,"Williams, Matt",1988,"The play is set in the coal mining country of southern Indiana. Carla, a twenty six year old high school dropout, wife, and mother, dreams of packing up and moving to escape her dreary existence. She is teased, threatened, and cajoled by her friends as they settle into an ordinary day of trading gossip, reading magazines, and prattling about sex while the children dart in and out. An ordinary day becomes extraordinary when the local mine resounds with an explosion. The play is a touching and humorous study of women who posses the courage, the humor, and the dignity to rise above the grimmer facts of their existence.",08-18,83,,,"Samuel French, Inc.",,,1,FALSE,TRUE,FALSE,,8,3,5,0,
yppc_34,Beyond the Fringe,"Bennett, Alan",1960,"Beyond the Fringe was a British comedy stage revue written and performed by Alan Bennett, Peter Cook, Jonathan Miller, and Dudley Moore. It debuted at the 1960 Edinburgh Festival and went on to play in London's West End and then in America, both on tour and on New York's Broadway in the early 1960s. Hugely successful, it is widely regarded as seminal to the ""satire boom"", the rise of satirical comedy in 1960s Britain.",12-18,75,,,"Samuel French, Inc.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,2,FALSE,TRUE,FALSE,,4,0,0,4,
yppc_35,The Birthday Party,"Pinter, Harold",1959,"In Pinter's classic comedy of menace, a small birthday party in a rundown seaside boarding house becomes a nightmare when two sinister strangers arrive unexpectedly.",10-18,54,,,"Samuel French, Inc.",,,1,FALSE,TRUE,FALSE,,6,4,2,0,
yppc_36,The Firebugs/The Fire Raisers,"Frisch, Max",1958,"The Firebugs is a dark comedy by Swiss playwright Max Frisch. Gottlieb Biedermann, a cautious German businessman, discovers that the two men who have entered his home disguised as salesmen are the arsonists who have already burned down much of the town. He and his wife, concerned only with saving themselves and their home, lodge them, feed them a sumptuous dinner, and provide them with all the matches they can possibly use — all of which serves only to postpone the inevitable holocaust.",14-18,43,,,Unknown,,,15,FALSE,TRUE,FALSE,,9,1,1,7,
yppc_37,Blithe Spirit,"Coward, Noel",1941,"A smash comedy hit on London and Broadway stages, this much-revived classic from the playwright of Private Lives offers wit, conflict and big laughs as a fussy, cantankerous novelist finds himself haunted by the ghost of his late first wife.",10-18,86,,,Concord Theatricals,,,1,FALSE,TRUE,FALSE,,7,2,5,0,
yppc_38,Blood Wedding,"Garcia Lorca, Federico",1933,"Two families in a semi-mythical rural Spain are intricately bound in an unbreakable cycle of murder and revenge. The death-bound love triangle at the center of the play fuels these passions to a fever pitch and propels the story to its unstoppable tragic conclusion. An arranged country marriage between the children of rich landowners is about to take place. A past lover, himself in a loveless marriage, cannot allow the wedding to take place and spirits the Bride away, who goes with him willingly on her wedding night. An entire town goes after the lovers in the middle of the night where pursuers and pursued plunge into a realm of deep darkness where the moonlight is not friendly and the forest not shelter enough. Lorca’s image-laden poetry unfolds the story with the fire and power characteristic of his work and the fateful resonance that marked his own tragically short life.",14-18,99,,,Dramatists Play Service Inc.,,,4,FALSE,TRUE,FALSE,,17,6,10,1,
yppc_39,The Blue Bird,"Maeterlinck, Maurice",1903,"The story is about a girl called Mytyl and her brother Tyltyl seeking happiness, represented by The Blue Bird of Happiness, aided by the good fairy Bérylune.",04-18,61,,,Public Domain,,,4,FALSE,FALSE,FALSE,,44,3,4,37,
yppc_40,The Chest of Dreams,"Bush, Max",1978,"Grandmother leaves Lily a large chest containing everything her friends can imagine; without imagination, the chest appears empty. Karkino, a ghostly hypnotist, threatens their creative spirit by planting self-defeating messages in their minds; however, he only lives as long as his debilitating messages stick. Lily makes allies of the audience and combats Karkino with her own self-assurance, reinforced by the audience, until the hypnotist is conquered and Lily's friends recover their strength. The Chest of Dreams is written for young adults to perform for children 6 to 10 years old. It is a keenly perceptive play about self-esteem—with a fresh point of view. It celebrates young people's intelligence, their zest for life and their capacity to unite in the face of danger.",06-18,41,,,Dramatists Play Service Inc.,,This is located in the Blithe Spirit binder.,6,FALSE,TRUE,FALSE,,7,3,4,0,
yppc_41,Blood Photo,"Friedman, Edward",1969,"A vivid, potent dramatic re-creation of a gradually disintegrating family, a subject that undoubtedly is painfully familiar to the play's progenitor.",12-18,33,,,Chilton Books,,,1,FALSE,TRUE,FALSE,,6,3,3,0,
yppc_42,Blue Denim,"Herlihy, James Leo",1959,"This moving and compassionate play concerning the problem of communications between the younger and older generations was saluted by the critics as a work of stature and uncommon insight. The juveniles are not delinquent and the parents are not heartless or uncaring; the trouble stems from the fact that they simply do not speak each other's language. A retired army officer living in Detroit has a 15 year old son who finds that he is about to become a father. The youngster feels helpless; he has never been close enough to his parents to go to them for help. When he does, at a friend's urging, he cannot make himself understood. This simple yet universal situation encompasses the terrible insecurity of youth, and the equally terrible failure of parents who realize too late that they don't know their own children.",12-18,107,,,Chilton Books,,Written by James Leo Herlihy and William Noble,3,FALSE,TRUE,FALSE,,6,3,3,0,
yppc_43,The Bomb,"Douglas, James",1966,"A couple of boys plan to play a cruel prank on a lonely old woman by setting off a bomb at her door. The bomb does not ignite, and one of the boys falls in his panic to get away.",10-18,20,,,Proscenium Press,,,5,FALSE,TRUE,FALSE,,3,2,1,0,
yppc_44,The Boor,"Chekhov, Anton",1888,A widow mourning her late husband is confronted by a creditor seeking repayment of a debt. Their interaction becomes heated but ultimately leads to a confession of love.,10-18,12,,,Unknown,,Two different versions: The Boor and The Bear. Both are the same play.,8,FALSE,FALSE,FALSE,,3,2,1,0,
yppc_45,Brilliant Traces,"Johnson, Cindy Lou",1989,"The place is a remote cabin in the wilds of Alaska. As a blizzard rages outside, a lonely figure, Henry Harry, lies sleeping under a heap of blankets. Suddenly, he is awakened by the insistent knocking of an unexpected visitor—who turns out to be Rosannah DeLuce, a distraught young woman who has fled all the way from Arizona to escape her impending marriage, and who bursts into the cabin dressed in full bridal regalia. Exhausted, she throws herself on Henry’s mercy, but after sleeping for two days straight, her vigor—and combativeness—return. Both characters, it develops, have been wounded and embittered by life, and both are refugees from so-called civilization. Thrown together in the confines of the snowbound cabin, they alternately repel and attract each other as, in theatrically vivid exchanges, they explore the pain of the past and, in time, consider the possibilities of the present. In the end their very isolation proves to be the catalyst that allows them to break through the web of old griefs and bitter feelings that beset them both and to reach out for the solace and sanctuary that only hard-won understanding, self-awareness and compassion for the plight of others can bestow.",14-18,42,,,Dramatists Play Service Inc.,,,1,FALSE,TRUE,TRUE,Adaptation of Cindy Lou Johnson's book by the same name,2,1,1,0,
yppc_46,Cantorial,"Levin, Ira",1988,"A Yuppie couple hears eerie, hauntingly beautiful Hebrew singing when they move into a new condominium. The building was formerly a synagogue and it has a ghost a cantor who has been dead for years. Warren becomes obsessed by the singing, which he believes is a sign that he is Jewish maybe the woman he thought was his mother wasn't and that he must restore the synagogue. Lesley, who is Jewish, finds this overwhelming and walks out. When a change of heart brings her back she finds a beautiful synagogue.",10-18,93,,,Concord Theatricals,,,1,FALSE,TRUE,FALSE,,7,4,2,1,
yppc_47,Case of the Punjabi Ruby,"Willment, Frank",2000,The auction of a valuable gem comes to a screeching halt,06-12,11,,,"Sterling Partners, Inc.",,,2,FALSE,TRUE,FALSE,,16,5,5,6,
yppc_48,Dracula's Night Out,"Stephens, Jeffryn",1982,Dracula and his family have a night out.,04-12,15,,,YPPC,,"Several different versions, including one labeled ""One on computer"". One version includes a scripted photocopy of Maurice Sendak's Where the Wild Things Are. One is located at the back of the folder that houses the Case of the Punjabi Ruby.",9,FALSE,FALSE,FALSE,,14,2,4,8,
yppc_49,The Caucasian Chalk Circle,"Brecht, Bertolt",1944,"THE CAUCASIAN CHALK CIRCLE is a parable inspired by the Chinese play CHALK CIRCLE. Written at the close of World War II, the story is set in the Causasus Mountains of Georgia, and retells the tale of King Solomon and a child claimed by two mothers.",12-18,109,,,Concord Theatricals,,,5,FALSE,TRUE,FALSE,,57,39,14,4,
